referencia;variante;descricao;detalhes;preco_unitario;porcentagem_imposto;pagina
6612;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Tripla;"Largura: 35cm| Altura: 1mt| Profundidade: 17cm
Fita de Led: 45,7W | 3.000K ou 4.000K | 4.572 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1695.99;16.60;7
6612;Bronze Armani;Arandela Bolle Rock Tripla;"Largura: 35cm| Altura: 1mt| Profundidade: 17cm
Fita de Led: 45,7W | 3.000K ou 4.000K | 4.572 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1830.33;16.60;7
6613;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Organic Dupla;"Largura: 39cm| Altura: 78cm| Profundidade: 13cm
Fita de Led: 33,1W | 3.000K ou 4.000K | 3.312 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";2742.00;16.60;7
6613;Bronze Armani;Arandela Bolle Rock Organic Dupla;"Largura: 39cm| Altura: 78cm| Profundidade: 13cm
Fita de Led: 33,1W | 3.000K ou 4.000K | 3.312 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";3091.16;16.60;7
6614;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle;"Largura: 1,10 mt| Altura: 42cm | Profundidade: 8,5 cm
de Led: 38,3W | 3.000K ou 4.000K | 3.830 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";2916.42;16.60;7
6614;Bronze Armani;Arandela Bolle;"Largura: 1,10 mt| Altura: 42cm | Profundidade: 8,5 cm
de Led: 38,3W | 3.000K ou 4.000K | 3.830 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";3656.27;16.60;7
6615;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Form Flux;"Largura: 22cm| Altura: 50cm| Profundidade: 6,5cm
Fita de Led: 10,7W | 3.000K ou 4.000K | 1.071 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1171.27;16.60;7
6615;Bronze Armani;Arandela Bolle Rock Form Flux;"Largura: 22cm| Altura: 50cm| Profundidade: 6,5cm
Fita de Led: 10,7W | 3.000K ou 4.000K | 1.071 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1345.92;16.60;7
6616;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Form Flux Out;"Largura: 27cm| Altura: 50cm| Profundidade: 7,5cm
Fita de Led: 12,6W | 3.000K ou 4.000K | 1.260 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1227.07;16.60;7
6616;Bronze Armani;Arandela Bolle Rock Form Flux Out;"Largura: 27cm| Altura: 50cm| Profundidade: 7,5cm
Fita de Led: 12,6W | 3.000K ou 4.000K | 1.260 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1401.18;16.60;7
6617;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Organic Flux;"Largura: 28,5cm| Altura: 40cm| Profundidade: 7cm
Fita de Led: 10,7W | 3.000K ou 4.000K | 1.071 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1181.19;16.60;8
6617;Bronze Armani;Arandela Bolle Rock Organic Flux;"Largura: 28,5cm| Altura: 40cm| Profundidade: 7cm
Fita de Led: 10,7W | 3.000K ou 4.000K | 1.071 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1355.04;16.60;8
6618;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Organic Flux Out;"Largura: 34cm| Altura: 40cm| Profundidade: 7cm
Fita de Led: 12,6W | 3.000K ou 4.000K | 1.260 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1255.65;16.60;8
6618;Bronze Armani;Arandela Bolle Rock Organic Flux Out;"Largura: 34cm| Altura: 40cm| Profundidade: 7cm
Fita de Led: 12,6W | 3.000K ou 4.000K | 1.260 lm | 127V ou 220V
Material: Alumínio e Pedra
Cores: Sólidas, Automotivas e Especiais
Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1430.69;16.60;8
6619;Travertino Bruto, Kouros e Verde Guatemala;Arandela Bolle Rock Organic Ball;"Largura: 28,5cm| Altura: 40cm| Profundidade: 15cm
Fita de Led: 6,3W | 3.000K ou 4.000K | 630 lm | 127V ou 220V
Base: G-9 01-Lâmpada Halopin
Material: Alumínio, Pedra e Vidro (Esfera 10cm)
Cores: Sólidas, Automotivas e Especiais
Cores: Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1283.95;16.60;8
6619;Bronze Armani;Arandela Bolle Rock Organic Ball;"Largura: 28,5cm| Altura: 40cm| Profundidade: 15cm
Fita de Led: 6,3W | 3.000K ou 4.000K | 630 lm | 127V ou 220V
Base: G-9 01-Lâmpada Halopin
Material: Alumínio, Pedra e Vidro (Esfera 10cm)
Cores: Sólidas, Automotivas e Especiais
Cores: Bronze Armani, Travertino Bruto, Kouros e Verde Guatemala";1459.13;16.60;8
